Unnamed: 0,country,year,persons,hhwt,gq,regionw,ownershipd
229525,348,2011,4,20,10,41,100
431515,348,2011,1,20,10,41,100
407504,348,2011,3,20,10,41,100
84538,348,2011,6,20,10,41,100
425203,348,2011,3,20,10,41,100
386373,348,2011,24,20,20,41,0
267938,348,2011,4,20,10,41,100
468976,348,2011,2,20,10,41,100
82963,348,2011,4,20,10,41,100
82646,348,2011,2,20,10,41,100
50065,348,2011,1,20,10,41,100
192584,348,2011,3,20,10,41,100
440205,348,2011,2,20,10,41,100
253680,348,2011,5,20,10,41,100
222824,348,2011,1,20,10,41,100
378563,348,2011,4,20,10,41,100
96300,348,2011,12,20,10,41,100
119120,348,2011,1,20,20,41,0
286828,348,2011,3,20,10,41,100
344602,348,2011,2,20,10,41,100
174598,348,2011,4,20,10,41,100
304252,348,2011,2,20,10,41,100
408965,348,2011,1,20,10,41,200
165503,348,2011,2,20,10,41,100
89947,348,2011,1,20,10,41,100
374165,348,2011,2,20,10,41,100
316473,348,2011,4,20,10,41,100
416862,348,2011,1,20,10,41,100
402565,348,2011,4,20,10,41,200
472841,348,2011,1,20,10,41,100
408277,348,2011,2,20,10,41,100
244997,348,2011,4,20,10,41,100
55792,348,2011,3,20,10,41,100
243197,348,2011,5,20,10,41,100
361387,348,2011,4,20,10,41,100
162966,348,2011,4,20,10,41,100
141397,348,2011,3,20,10,41,100
425699,348,2011,2,20,10,41,100
268530,348,2011,8,20,10,41,100
74733,348,2011,2,20,20,41,0
28731,348,2011,4,20,10,41,100
388024,348,2011,1,20,10,41,100
454586,348,2011,5,20,10,41,100
173765,348,2011,4,20,10,41,100
373253,348,2011,4,20,10,41,100
229339,348,2011,3,20,10,41,100
243050,348,2011,3,20,10,41,100
33553,348,2011,2,20,10,41,100
466633,348,2011,1,20,10,41,100
55942,348,2011,4,20,10,41,100
477453,348,2011,3,20,10,41,100
247337,348,2011,4,20,10,41,100
53846,348,2011,1,20,10,41,100
1436,348,2011,2,20,10,41,100
422769,348,2011,4,20,10,41,100
287988,348,2011,4,20,10,41,100
466546,348,2011,3,20,10,41,100
494450,348,2011,3,20,10,41,100
44453,348,2011,2,20,10,41,100
321917,348,2011,12,20,20,41,0
411222,348,2011,1,20,10,41,100
68213,348,2011,4,20,10,41,100
111378,348,2011,3,20,10,41,100
141373,348,2011,8,20,10,41,200
452314,348,2011,3,20,10,41,100
398593,348,2011,2,20,10,41,100
262230,348,2011,2,20,10,41,100
82125,348,2011,5,20,10,41,100
34817,348,2011,6,20,20,41,0
284459,348,2011,3,20,10,41,100
471340,348,2011,2,20,10,41,100
404950,348,2011,2,20,10,41,100
363270,348,2011,5,20,10,41,100
139680,348,2011,2,20,10,41,100
150155,348,2011,1,20,10,41,100
452661,348,2011,2,20,10,41,100
78654,348,2011,4,20,10,41,100
229552,348,2011,3,20,10,41,100
30405,348,2011,6,20,10,41,100
298843,348,2011,1,20,10,41,100
157008,348,2011,5,20,10,41,100
342242,348,2011,1,20,10,41,100
77267,348,2011,2,20,10,41,100
49772,348,2011,3,20,10,41,200
455351,348,2011,2,20,10,41,0
214969,348,2011,3,20,10,41,100
104082,348,2011,3,20,10,41,100
375713,348,2011,3,20,10,41,100
145150,348,2011,7,20,10,41,100
308171,348,2011,2,20,10,41,100
195412,348,2011,3,20,10,41,100
182365,348,2011,1,20,10,41,100
128559,348,2011,2,20,10,41,100
359679,348,2011,3,20,10,41,100
69420,348,2011,1,20,10,41,100
3510,348,2011,2,20,10,41,100
406771,348,2011,3,20,10,41,100
161759,348,2011,4,20,10,41,100
473593,348,2011,3,20,10,41,100
197422,348,2011,3,20,10,41,100
414004,348,2011,2,20,10,41,100
428274,348,2011,2,20,20,41,0
215966,348,2011,4,20,10,41,100
110172,348,2011,2,20,10,41,100
295527,348,2011,3,20,10,41,100
236471,348,2011,2,20,10,41,100
292777,348,2011,2,20,10,41,100
66708,348,2011,5,20,10,41,100
348607,348,2011,3,20,10,41,100
385750,348,2011,1,20,10,41,100
13845,348,2011,1,20,10,41,100
222838,348,2011,4,20,10,41,100
274370,348,2011,7,20,10,41,100
242537,348,2011,3,20,10,41,100
260359,348,2011,2,20,10,41,100
76593,348,2011,2,20,10,41,100
384295,348,2011,4,20,10,41,100
119520,348,2011,10,20,20,41,0
302395,348,2011,1,20,10,41,100
473122,348,2011,6,20,10,41,100
