Unnamed: 0,country,year,persons,hhwt,gq,regionw,ownershipd
61267,756,2011,1,15.26,10,44,100
158813,756,2011,1,9.47,10,44,210
8518,756,2011,1,9.52,10,44,192
163578,756,2011,1,9.0,10,44,223
3184,756,2011,1,10.91,10,44,223
151306,756,2011,1,35.35,10,44,250
107675,756,2011,1,47.04,10,44,210
107449,756,2011,1,14.94,10,44,192
173237,756,2011,1,14.67,10,44,223
8043,756,2011,1,10.62,10,44,250
132225,756,2011,1,36.66,10,44,999
34761,756,2011,1,8.11,10,44,192
215361,756,2011,1,32.04,10,44,223
30262,756,2011,1,9.99,10,44,192
145872,756,2011,1,16.08,10,44,223
174519,756,2011,1,32.21,10,44,192
146983,756,2011,1,4.63,10,44,210
579,756,2011,1,4.74,10,44,100
205455,756,2011,1,21.06,10,44,250
220933,756,2011,1,50.32,10,44,210
57249,756,2011,1,14.62,10,44,250
218805,756,2011,1,12.17,10,44,250
229504,756,2011,1,19.21,10,44,100
209144,756,2011,1,14.96,10,44,223
9746,756,2011,1,43.44,10,44,210
9186,756,2011,1,31.27,10,44,223
236827,756,2011,1,15.25,10,44,100
10713,756,2011,1,31.27,10,44,100
23400,756,2011,1,7.57,10,44,100
13401,756,2011,1,10.65,10,44,100
12270,756,2011,1,36.15,10,44,210
108200,756,2011,1,24.98,10,44,192
79045,756,2011,1,34.04,10,44,223
203464,756,2011,1,16.72,10,44,223
168389,756,2011,1,16.73,10,44,100
189331,756,2011,1,14.2,10,44,210
4914,756,2011,1,4.45,10,44,100
206885,756,2011,1,10.27,10,44,250
220666,756,2011,1,3.62,10,44,100
232605,756,2011,1,24.07,10,44,100
395,756,2011,1,5.68,10,44,210
10483,756,2011,1,16.79,10,44,100
182000,756,2011,1,14.32,10,44,223
233075,756,2011,1,21.2,10,44,250
144905,756,2011,1,8.78,10,44,999
63817,756,2011,1,18.61,10,44,999
88906,756,2011,1,23.73,10,44,100
113349,756,2011,1,10.46,10,44,250
131004,756,2011,1,47.41,10,44,210
208578,756,2011,1,17.11,10,44,100
167779,756,2011,1,39.73,10,44,210
136177,756,2011,1,19.7,10,44,210
207099,756,2011,1,12.36,10,44,250
57366,756,2011,1,32.84,10,44,100
25400,756,2011,1,12.64,10,44,100
127243,756,2011,1,4.57,10,44,100
21006,756,2011,1,11.01,10,44,250
2086,756,2011,1,18.74,10,44,210
120500,756,2011,1,8.49,10,44,210
3412,756,2011,1,38.72,10,44,223
158909,756,2011,1,6.93,10,44,999
30377,756,2011,1,54.27,10,44,210
109535,756,2011,1,4.0,10,44,100
