ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,persons_contribution_%,hhwt_contribution_%,gq_contribution_%,regionw_contribution_%,ownershipd_contribution_%
1821,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
607,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
164,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
880,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2081,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1038,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1533,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
339,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1887,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1997,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2284,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1995,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2125,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
38,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
819,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1890,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1580,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2128,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2193,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1145,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1918,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1336,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2190,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
598,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1955,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1630,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
711,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
62,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
840,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1977,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1982,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
479,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
806,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
498,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
719,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
667,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2253,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
446,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
939,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
253,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
117,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2011,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2187,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
824,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2335,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1878,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
229,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2308,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
36,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
973,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1403,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1853,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1319,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1220,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2102,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1006,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1904,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1647,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
16,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2361,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1756,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
678,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1203,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1569,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
400,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2195,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2372,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
977,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1461,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1064,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1541,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
948,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1313,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
621,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1256,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2369,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2034,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1942,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
867,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1834,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1551,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1513,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2294,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1324,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1748,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
695,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
773,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1017,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1502,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2176,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1123,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1836,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2021,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1463,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
40,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
221,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2047,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2183,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1384,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1211,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1881,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
413,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2124,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1528,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1231,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1605,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2330,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
315,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1286,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
267,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1560,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1562,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
649,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
453,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
148,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
216,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
1390,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
2349,16,0.133333,1,0,0,0,0,0,100.0,0,0,0.0
