Unnamed: 0,country,year,persons,hhwt,gq,regionw,ownershipd
1393939,704,1989,9,14.32,10,34,999
2547001,704,1989,7,8.53,10,34,999
218404,704,1989,6,36.42,10,34,100
2524296,704,1989,6,91.1,10,34,999
1569287,704,1989,8,6.52,10,34,999
600626,704,1989,6,41.29,10,34,999
79418,704,1989,7,11.5,10,34,100
1061385,704,1989,4,38.1,10,34,999
1008433,704,1989,4,27.78,10,34,211
1881514,704,1989,7,2.48,10,34,999
175961,704,1989,3,36.42,10,34,999
1960519,704,1989,5,14.12,10,34,999
581079,704,1989,9,16.77,10,34,999
1002679,704,1989,7,27.78,10,34,999
867048,704,1989,5,13.77,10,34,999
1727210,704,1989,15,28.47,10,34,999
679762,704,1989,5,31.01,10,34,100
2542011,704,1989,2,8.53,10,34,999
718171,704,1989,6,31.01,10,34,100
2454116,704,1989,4,27.27,10,34,100
837962,704,1989,5,13.77,10,34,999
287069,704,1989,6,48.55,10,34,999
1338793,704,1989,8,21.82,10,34,999
84884,704,1989,4,11.5,10,34,100
72809,704,1989,3,23.38,10,34,211
1675548,704,1989,7,20.17,10,34,999
765640,704,1989,4,30.78,10,34,999
2076547,704,1989,6,4.41,10,34,999
2244462,704,1989,4,76.76,10,34,999
1976281,704,1989,13,2.81,10,34,999
2302202,704,1989,6,4.61,10,34,999
1091388,704,1989,10,6.35,10,34,999
2247810,704,1989,5,8.02,10,34,999
1770819,704,1989,3,11.85,10,34,100
1199614,704,1989,6,32.51,10,34,999
255321,704,1989,7,48.55,10,34,999
2022942,704,1989,7,9.4,10,34,999
99778,704,1989,4,21.38,10,34,217
1368101,704,1989,3,11.28,10,34,999
1609523,704,1989,13,17.16,10,34,999
1130526,704,1989,5,38.95,10,34,999
1632949,704,1989,6,7.0,10,34,999
233833,704,1989,5,35.39,10,34,100
1363763,704,1989,4,11.28,10,34,211
498991,704,1989,7,54.2,10,34,100
86587,704,1989,4,11.5,10,34,100
1639752,704,1989,21,7.0,20,34,999
1025172,704,1989,6,14.85,10,34,100
1619466,704,1989,6,20.17,10,34,999
2607580,704,1989,2,30.09,10,34,999
720618,704,1989,6,31.01,10,34,999
701864,704,1989,7,31.01,10,34,100
2557620,704,1989,2,39.79,10,34,100
787171,704,1989,4,5.3,10,34,999
797696,704,1989,8,5.3,10,34,999
2557550,704,1989,5,39.79,10,34,100
2190299,704,1989,1,34.78,10,34,100
93719,704,1989,3,21.38,10,34,100
2037643,704,1989,4,4.41,20,34,999
799926,704,1989,7,30.78,10,34,999
2108339,704,1989,7,33.34,10,34,999
1588512,704,1989,7,17.16,10,34,999
2620066,704,1989,6,9.11,10,34,999
624577,704,1989,7,41.29,10,34,999
1257411,704,1989,2,41.25,10,34,999
2533451,704,1989,5,34.86,10,34,999
1711468,704,1989,3,5.83,10,34,999
2183192,704,1989,7,34.78,10,34,999
227325,704,1989,5,35.39,10,34,100
1247461,704,1989,8,41.25,10,34,999
2622386,704,1989,8,40.57,10,34,999
339023,704,1989,10,13.1,10,34,999
1691369,704,1989,6,5.83,10,34,999
385988,704,1989,7,12.93,10,34,100
462591,704,1989,4,54.2,10,34,100
945500,704,1989,4,29.16,10,34,100
1591131,704,1989,9,17.16,10,34,999
2547486,704,1989,7,8.53,10,34,999
2421748,704,1989,6,40.46,10,34,100
1350384,704,1989,3,21.82,10,34,999
1324170,704,1989,6,21.82,10,34,999
2292187,704,1989,5,34.02,10,34,999
1198623,704,1989,2,32.51,10,34,999
1347004,704,1989,4,21.82,10,34,999
2136724,704,1989,10,33.34,10,34,999
1159248,704,1989,6,32.51,10,34,999
1286415,704,1989,42,6.73,20,34,999
2014902,704,1989,12,9.4,10,34,999
1108155,704,1989,14,6.35,10,34,999
1954848,704,1989,6,14.12,10,34,999
1200720,704,1989,3,32.51,10,34,999
2558831,704,1989,2,39.79,10,34,100
1385776,704,1989,7,14.32,10,34,999
855094,704,1989,6,13.77,10,34,999
629530,704,1989,2,41.29,20,34,999
101474,704,1989,7,21.38,10,34,100
2038882,704,1989,7,4.41,20,34,999
517515,704,1989,2,6.44,20,34,211
2232697,704,1989,8,17.23,10,34,999
1508069,704,1989,4,12.28,10,34,999
2607995,704,1989,6,30.09,10,34,999
2559069,704,1989,10,39.79,10,34,100
1064177,704,1989,5,14.85,10,34,999
1976288,704,1989,7,2.81,10,34,999
1211461,704,1989,5,32.51,10,34,999
1424209,704,1989,9,8.38,10,34,999
1817644,704,1989,5,6.64,10,34,290
1721483,704,1989,3,28.47,10,34,999
1987412,704,1989,4,9.4,10,34,999
1707857,704,1989,6,5.83,10,34,999
1414577,704,1989,5,14.32,10,34,999
2379087,704,1989,3,15.1,10,34,999
1952678,704,1989,4,14.12,10,34,999
525091,704,1989,8,6.44,20,34,100
2280685,704,1989,5,34.02,10,34,999
2352547,704,1989,6,15.1,10,34,999
2298622,704,1989,4,4.61,10,34,999
2578145,704,1989,6,16.53,10,34,100
916033,704,1989,3,29.16,10,34,100
1128431,704,1989,6,38.95,10,34,999
1874901,704,1989,4,2.48,10,34,999
828956,704,1989,9,13.77,10,34,999
2598771,704,1989,5,30.09,10,34,999
2429030,704,1989,4,40.46,10,34,100
461718,704,1989,6,54.2,10,34,100
481816,704,1989,5,54.2,10,34,100
1745054,704,1989,11,28.47,10,34,100
752481,704,1989,8,5.3,10,34,999
1408158,704,1989,5,14.32,10,34,999
2544350,704,1989,6,34.86,10,34,999
1195133,704,1989,2,32.51,10,34,999
1834279,704,1989,5,19.62,10,34,999
296055,704,1989,6,4.22,10,34,999
23231,704,1989,6,78.15,10,34,100
1253205,704,1989,5,41.25,10,34,999
1999830,704,1989,7,9.4,10,34,999
647155,704,1989,6,41.29,10,34,999
133124,704,1989,8,21.38,10,34,100
2579287,704,1989,5,39.79,10,34,100
2238959,704,1989,5,17.23,10,34,999
787733,704,1989,9,5.3,10,34,999
2178895,704,1989,6,34.78,10,34,999
1618821,704,1989,5,20.17,10,34,999
1783081,704,1989,11,37.99,10,34,100
815669,704,1989,6,5.5,10,34,999
1050940,704,1989,7,38.1,10,34,999
2203722,704,1989,10,17.23,10,34,100
878887,704,1989,96,21.4,20,34,100
1967491,704,1989,7,14.12,10,34,999
1862144,704,1989,2,2.48,20,34,999
1779946,704,1989,7,37.99,10,34,100
1249837,704,1989,7,41.25,10,34,999
414741,704,1989,8,12.93,10,34,999
2435986,704,1989,11,40.46,10,34,100
1504365,704,1989,4,12.28,10,34,999
2536488,704,1989,7,34.86,10,34,999
1991125,704,1989,4,9.4,10,34,999
43980,704,1989,4,23.38,10,34,100
184177,704,1989,7,36.42,10,34,100
