ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,persons_contribution_%,hhwt_contribution_%,gq_contribution_%,regionw_contribution_%,ownershipd_contribution_%
3255,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0,0.0
2080,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0,50.0
1355,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0,0.0
6257,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0,50.0
3782,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0,0.0
2794,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0,0.0
7917,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0,0.0
2347,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
8923,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
6103,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
3243,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
315,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
2359,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
4830,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
5692,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
5991,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
4558,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
5993,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
8382,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
3441,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
7084,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
8399,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
1600,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
3280,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
4928,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0,100.0
8074,16,0.133333,0,2,0,0,0,0.0,50.0,50.0,0,100.0
8473,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
7887,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
9043,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
5435,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
4763,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
645,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
842,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
3247,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
7882,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
3235,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
5165,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
7789,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
2144,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
5918,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
4751,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
1802,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
4356,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
1957,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
3075,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
1035,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
1091,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
3759,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
8158,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
3786,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
3412,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
5776,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
8437,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
5184,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
5994,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
7376,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
4411,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
3166,4,0.033333,0,0,1,0,0,100.0,0.0,100.0,0,100.0
