ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,persons_contribution_%,hhwt_contribution_%,gq_contribution_%,regionw_contribution_%,ownershipd_contribution_%
612,16,0.133333,1,0,0,0,0,100.0,0,0,0,0.0
5157,16,0.133333,1,0,0,0,0,100.0,0,0,0,0.0
697,16,0.133333,1,0,0,0,0,100.0,0,0,0,0.0
290,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
479,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
1980,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
2991,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
706,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
1080,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
316,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
4985,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
1818,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
1037,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
3,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
3840,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
2635,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
2100,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
2995,8,0.066667,0,1,0,0,0,100.0,0,0,0,100.0
