ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,persons_contribution_%,hhwt_contribution_%,gq_contribution_%,regionw_contribution_%,ownershipd_contribution_%
9289,16,0.133333,1,0,0,0,0,100.0,0.0,0,0,0.0
26367,16,0.133333,1,0,0,0,0,100.0,0.0,0,0,0.0
36635,16,0.133333,1,0,0,0,0,100.0,0.0,0,0,0.0
1961,16,0.133333,1,0,0,0,0,100.0,0.0,0,0,0.0
1568,16,0.133333,1,0,0,0,0,100.0,0.0,0,0,0.0
79991,16,0.133333,1,0,0,0,0,100.0,0.0,0,0,0.0
10653,16,0.133333,1,0,0,0,0,0.0,100.0,0,0,0.0
81633,16,0.133333,1,0,0,0,0,0.0,100.0,0,0,0.0
19490,16,0.133333,1,0,0,0,0,0.0,100.0,0,0,0.0
27369,16,0.133333,1,0,0,0,0,0.0,100.0,0,0,0.0
37545,16,0.133333,1,0,0,0,0,0.0,100.0,0,0,0.0
12143,16,0.133333,1,0,0,0,0,0.0,100.0,0,0,0.0
20973,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
75163,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
74582,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
67095,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
75647,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
40796,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
73011,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
37588,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
25124,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
8058,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
46222,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
36126,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
37323,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
1030,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
73790,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
44364,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
50975,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
41577,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
13793,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
65748,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
25439,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
1268,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
21085,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
31316,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
15316,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
40493,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
32999,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
44344,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
44990,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
59572,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
11196,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
46381,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
6551,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
8348,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
26956,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
30295,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
70802,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
64634,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
17584,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
15485,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
9942,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
40709,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
64308,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
67378,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
59542,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
77088,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
36192,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
3702,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
30286,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
3333,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
41349,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
45023,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
49556,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
28125,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
66331,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
64931,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
17168,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
64579,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
55326,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
7977,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
43570,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
3560,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
65753,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
61556,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
54984,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
17915,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
31233,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
9778,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
42853,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
37987,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
62395,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
50346,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
10246,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
66077,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
14124,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
59391,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
1891,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
30425,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
10688,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
68105,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
18532,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
14062,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
35272,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
80969,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
50145,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
81444,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
77697,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
23761,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
64612,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
75028,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
7062,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
68288,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
24036,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
72885,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
75289,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
38695,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
4582,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
14080,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
78605,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
81036,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
37511,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
75172,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
72806,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
17455,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
3818,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
61763,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
35910,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
71703,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
69162,16,0.133333,0,2,0,0,0,50.0,100.0,0,0,50.0
39555,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
57287,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
77978,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
35270,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
30163,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
26522,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
61168,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
75149,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
62574,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
52159,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
73424,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
40788,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
58525,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
51299,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
76515,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
32412,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
1812,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
80601,8,0.066667,0,1,0,0,0,100.0,100.0,0,0,0.0
