ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,age_contribution_%,sex_contribution_%,marstd_contribution_%,edattaind_contribution_%,occ_contribution_%
2689,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
5045,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
4542,16,0.133333,0,2,0,0,0,100.0,50.0,50.0,0.0,0.0
5110,8,0.066667,0,1,0,0,0,100.0,100.0,0.0,0.0,0.0
4213,24,0.2,0,3,0,0,0,100.0,33.33,33.33,33.33,0.0
3798,24,0.2,0,3,0,0,0,100.0,33.33,33.33,33.33,0.0
456,24,0.2,0,3,0,0,0,100.0,33.33,33.33,33.33,0.0
911,16,0.133333,0,2,0,0,0,100.0,50.0,0.0,50.0,0.0
194,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
3747,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
2453,12,0.1,0,1,1,0,0,100.0,0.0,66.67,33.33,33.33
4046,10,0.083333,0,1,0,1,0,100.0,20.0,80.0,20.0,20.0
1231,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
2167,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
1939,12,0.1,0,1,1,0,0,100.0,33.33,66.67,33.33,0.0
4618,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
5238,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
449,12,0.1,0,1,1,0,0,100.0,33.33,66.67,33.33,0.0
447,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
3599,12,0.1,0,1,1,0,0,100.0,33.33,66.67,33.33,0.0
1968,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,50.0,0.0
728,12,0.1,0,1,1,0,0,100.0,33.33,66.67,33.33,0.0
2013,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,50.0,0.0
3900,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
1812,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
1763,12,0.1,0,1,1,0,0,100.0,33.33,66.67,33.33,0.0
1974,12,0.1,0,1,1,0,0,100.0,33.33,66.67,33.33,0.0
328,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,50.0,0.0
933,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
4404,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
1276,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
239,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
4988,10,0.083333,0,1,0,1,0,80.0,20.0,20.0,100.0,20.0
2053,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
2147,12,0.1,0,1,1,0,0,100.0,0.0,33.33,66.67,33.33
39,16,0.133333,0,2,0,0,0,100.0,0.0,0.0,50.0,50.0
2738,18,0.15,0,2,0,1,0,55.56,11.11,11.11,88.89,55.56
1279,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
1910,20,0.166667,0,1,3,0,0,60.0,20.0,40.0,80.0,60.0
1121,24,0.2,0,1,4,0,0,66.67,33.33,33.33,66.67,66.67
4116,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
889,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
1701,12,0.1,0,1,1,0,0,66.67,0.0,33.33,100.0,33.33
2782,16,0.133333,0,2,0,0,0,50.0,0.0,0.0,100.0,50.0
3189,12,0.1,0,1,1,0,0,66.67,0.0,33.33,100.0,33.33
5323,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
1618,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
3982,12,0.1,0,1,1,0,0,100.0,0.0,33.33,66.67,33.33
1798,10,0.083333,0,1,0,1,0,100.0,20.0,20.0,80.0,20.0
1358,16,0.133333,0,2,0,0,0,50.0,0.0,0.0,100.0,50.0
2489,12,0.1,0,1,1,0,0,100.0,0.0,33.33,66.67,33.33
2248,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
3555,12,0.1,0,1,1,0,0,100.0,0.0,33.33,66.67,33.33
1872,16,0.133333,0,2,0,0,0,50.0,0.0,0.0,100.0,50.0
1256,10,0.083333,0,1,0,1,0,100.0,20.0,20.0,80.0,20.0
1644,12,0.1,0,1,1,0,0,100.0,33.33,0.0,66.67,33.33
5062,12,0.1,0,1,1,0,0,66.67,0.0,33.33,100.0,33.33
80,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
