Unnamed: 0,year,ownershipd,perwt,age,sex,marstd,edattaind,occ
139675,1980,210,20,35,1,200,221,7223
244973,1980,210,20,24,1,200,321,5112
273035,1980,100,20,53,2,200,400,5123
248720,1980,210,20,45,1,350,400,9999
284049,1980,192,20,33,1,200,321,7437
121750,1980,210,20,44,2,200,110,7430
303499,1980,210,20,43,1,200,321,5123
34905,1980,210,20,37,2,350,322,5123
134156,1980,100,20,39,1,350,221,100
73609,1980,210,20,64,2,200,999,9999
265596,1980,210,20,50,2,350,321,3231
168218,1980,223,20,53,1,200,321,7321
227455,1980,210,20,32,1,350,999,7141
179500,1980,100,20,25,1,100,322,7136
5985,1980,210,20,46,1,200,221,8160
256981,1980,210,20,56,1,350,221,9320
136591,1980,100,20,49,1,200,321,8312
136944,1980,210,20,29,1,200,322,7122
107928,1980,210,20,82,1,100,321,9999
118665,1980,100,20,36,1,200,999,9900
70772,1980,210,20,26,1,200,221,9320
248508,1980,210,20,59,1,100,321,7137
96157,1980,210,20,67,2,400,221,9211
203147,1980,100,20,47,1,200,322,3143
26526,1980,210,20,30,2,400,321,5123
156576,1980,210,20,63,1,200,321,4143
295532,1980,210,20,58,2,350,321,1225
288061,1980,210,20,60,2,350,221,3221
83091,1980,100,20,53,2,200,321,9999
149955,1980,210,20,30,2,100,999,3220
162824,1980,100,20,54,2,400,221,3410
83141,1980,100,20,68,2,100,221,5220
232618,1980,100,20,42,1,200,321,6154
303594,1980,210,20,47,1,200,321,7440
38781,1980,210,20,32,2,100,321,3220
57842,1980,210,20,86,2,400,221,9999
25888,1980,210,20,62,2,350,221,4110
66160,1980,210,20,32,2,200,999,1225
20292,1980,210,20,42,2,200,999,5121
187742,1980,100,20,56,1,200,221,1222
2772,1980,100,20,26,1,350,321,1210
84585,1980,210,20,70,2,400,221,5121
128198,1980,100,20,49,1,200,221,8278
14368,1980,100,20,52,2,200,322,8251
209015,1980,210,20,38,1,200,321,4131
23625,1980,210,20,58,2,350,221,8324
29301,1980,223,20,30,2,100,221,3474
152251,1980,210,20,29,1,100,321,5122
232136,1980,192,20,18,2,100,999,5141
83836,1980,210,20,27,1,200,322,8251
56224,1980,100,20,40,1,200,321,7240
75636,1980,210,20,33,2,200,221,8123
66450,1980,100,20,34,1,200,321,3122
261453,1980,210,20,20,1,100,999,7213
60846,1980,192,20,39,2,100,321,6112
48657,1980,210,20,11,2,100,0,9999
294009,1980,210,20,38,1,350,322,7311
283036,1980,210,20,84,2,400,110,9999
217645,1980,210,20,20,2,100,999,4110
144897,1980,210,20,37,1,200,110,9140
70181,1980,210,20,37,1,350,999,4110
25331,1980,210,20,50,1,200,322,3224
9372,1980,100,20,61,1,200,322,2140
83414,1980,100,20,45,1,200,321,6112
4062,1980,100,20,51,1,200,221,4142
229817,1980,210,20,46,1,200,221,8312
273344,1980,100,20,33,1,200,321,7213
14146,1980,210,20,40,1,100,221,2146
130494,1980,210,20,31,1,100,400,3430
21835,1980,100,20,42,2,200,321,8324
240442,1980,210,20,44,1,200,321,3412
116166,1980,210,20,55,1,350,221,7124
288696,1980,100,20,44,1,100,321,6130
249454,1980,210,20,43,1,200,999,5123
740,1980,210,20,35,1,200,321,3310
31728,1980,210,20,29,1,100,999,9320
13688,1980,210,20,35,1,350,221,3139
252760,1980,210,20,57,2,350,999,9999
238773,1980,210,20,58,2,400,221,7436
45606,1980,210,20,47,1,100,221,3415
141334,1980,210,20,24,2,100,322,5123
59799,1980,210,20,37,2,200,322,7330
134193,1980,210,20,28,2,100,999,5220
281489,1980,210,20,22,1,200,321,7311
65880,1980,210,20,31,1,200,221,5121
262341,1980,192,20,74,2,100,221,1225
121231,1980,100,20,37,2,100,221,7220
37443,1980,210,20,60,1,400,321,4131
70938,1980,210,20,57,1,200,221,3152
260417,1980,100,20,62,1,100,321,4221
43990,1980,210,20,58,2,400,321,3231
261407,1980,100,20,19,2,100,321,7311
121967,1980,210,20,36,2,200,221,8253
222195,1980,210,20,50,2,200,221,3119
65112,1980,210,20,60,1,100,221,3440
145053,1980,210,20,54,1,350,400,2320
189391,1980,100,20,56,1,200,321,7220
4566,1980,210,20,52,2,350,221,3116
277936,1980,210,20,31,2,200,322,3231
167177,1980,100,20,54,1,350,221,8122
130948,1980,210,20,40,2,400,221,5220
29633,1980,210,20,56,2,200,221,8253
61409,1980,210,20,29,1,100,999,7120
273711,1980,210,20,31,1,100,321,2452
257842,1980,210,20,39,1,350,321,7222
165839,1980,192,20,40,1,100,321,3116
206386,1980,210,20,44,1,350,321,7132
113309,1980,100,20,39,1,200,221,7210
44006,1980,210,20,33,1,200,221,1210
172352,1980,210,20,22,2,200,221,1319
291211,1980,210,20,51,1,200,322,7433
105075,1980,210,20,25,1,100,322,2452
49227,1980,210,20,36,1,100,221,4131
198894,1980,210,20,18,2,100,999,7220
241304,1980,210,20,44,2,200,321,5220
32376,1980,210,20,18,2,100,321,4110
234926,1980,210,20,71,2,400,400,2444
22861,1980,100,20,20,1,100,321,7143
261776,1980,210,20,55,1,200,321,9999
18496,1980,100,20,66,1,200,321,2141
299560,1980,210,20,45,2,200,221,5160
4370,1980,100,20,26,2,100,321,3433
75384,1980,100,20,52,1,200,321,7311
79476,1980,210,20,23,2,100,321,2340
13626,1980,210,20,25,1,100,321,1226
106247,1980,100,20,32,1,200,400,2320
289736,1980,210,20,30,1,200,321,8278
91913,1980,210,20,45,2,200,999,8290
78354,1980,100,20,40,2,200,221,9999
39441,1980,210,20,63,1,200,322,3415
308443,1980,0,20,30,1,100,322,5123
38257,1980,210,20,82,2,400,400,9999
94136,1980,210,20,20,1,100,321,2320
235532,1980,210,20,65,2,200,221,9999
32537,1980,210,20,25,1,200,321,7341
221757,1980,100,20,34,1,200,321,7313
31039,1980,210,20,38,1,200,321,7213
111905,1980,192,20,22,2,100,321,3310
169211,1980,210,20,59,1,350,321,8251
50827,1980,210,20,17,2,100,321,7341
142666,1980,100,20,49,1,200,221,9162
295355,1980,210,20,29,2,200,400,2420
267662,1980,100,20,60,2,200,221,1225
236393,1980,192,20,20,1,200,321,5220
80244,1980,100,20,50,1,200,321,7437
300957,1980,210,20,24,1,100,321,2454
76475,1980,210,20,18,1,100,221,6120
203761,1980,210,20,29,1,200,321,7422
23536,1980,210,20,29,2,100,221,3118
294650,1980,210,20,21,1,100,999,5130
71149,1980,210,20,49,2,350,221,4211
171561,1980,210,20,30,1,200,321,3310
304369,1980,100,20,65,1,200,322,2141
14528,1980,210,20,64,2,400,221,9320
45883,1980,210,20,40,1,200,400,2141
175093,1980,210,20,26,2,200,400,3226
272632,1980,100,20,79,2,200,221,9999
101711,1980,223,20,31,1,100,321,1226
77768,1980,210,20,38,1,200,221,4110
31192,1980,210,20,26,1,200,321,3471
35751,1980,210,20,34,1,100,400,4131
79777,1980,210,20,62,1,200,221,5122
159906,1980,251,20,46,1,200,110,9140
56566,1980,100,20,35,2,200,321,9999
144521,1980,210,20,52,1,400,321,5220
20870,1980,100,20,46,2,200,322,9999
53373,1980,100,20,37,1,350,321,3116
131296,1980,100,20,20,2,100,999,2320
55385,1980,100,20,19,1,100,221,7143
125946,1980,210,20,35,1,200,999,1210
7444,1980,100,20,52,1,200,322,2320
592,1980,210,20,38,2,100,321,9999
208190,1980,100,20,52,1,200,322,3113
