Unnamed: 0,year,age,sex,marstd,edattaind,occ
46809,1981,17,2.0,100.0,311.0,220.0
107602,1981,46,1.0,330.0,110.0,813.0
160608,1981,12,2.0,100.0,120.0,998.0
133832,1981,32,1.0,210.0,212.0,952.0
29255,1981,59,1.0,210.0,212.0,990.0
227510,1981,16,2.0,400.0,110.0,998.0
218250,1981,25,1.0,220.0,221.0,505.0
35058,1981,27,2.0,100.0,212.0,961.0
34892,1981,33,2.0,210.0,221.0,310.0
150324,1981,54,1.0,210.0,120.0,200.0
258123,1981,84,2.0,330.0,110.0,998.0
158547,1981,63,2.0,330.0,110.0,998.0
165022,1981,52,1.0,220.0,120.0,650.0
39065,1981,27,2.0,100.0,212.0,212.0
223195,1981,38,1.0,210.0,221.0,310.0
62443,1981,29,2.0,210.0,212.0,302.0
120405,1981,46,2.0,350.0,120.0,999.0
12745,1981,38,2.0,210.0,311.0,122.0
23979,1981,27,1.0,220.0,212.0,251.0
124403,1981,63,1.0,330.0,110.0,420.0
6411,1981,58,1.0,210.0,212.0,286.0
89331,1981,34,1.0,220.0,110.0,410.0
136929,1981,30,2.0,220.0,312.0,821.0
268082,1981,23,1.0,220.0,212.0,430.0
279149,1981,30,1.0,220.0,212.0,452.0
5963,1981,37,2.0,220.0,311.0,613.0
241572,1981,55,2.0,330.0,110.0,943.0
215497,1981,47,2.0,220.0,120.0,316.0
53410,1981,29,1.0,210.0,110.0,321.0
212144,1981,25,1.0,220.0,212.0,424.0
154589,1981,38,1.0,210.0,311.0,45.0
185246,1981,50,2.0,210.0,120.0,314.0
192812,1981,26,1.0,100.0,311.0,835.0
18721,1981,28,2.0,210.0,311.0,220.0
271703,1981,71,1.0,100.0,110.0,998.0
212679,1981,75,1.0,100.0,110.0,990.0
88720,1981,41,2.0,100.0,110.0,998.0
43407,1981,58,2.0,330.0,212.0,999.0
29861,1981,60,1.0,220.0,110.0,635.0
222510,1981,61,1.0,100.0,120.0,310.0
15161,1981,20,1.0,100.0,400.0,990.0
156269,1981,23,1.0,220.0,110.0,410.0
37489,1981,18,1.0,100.0,221.0,990.0
82332,1981,18,1.0,100.0,120.0,423.0
139526,1981,11,2.0,100.0,120.0,999.0
235917,1981,50,1.0,210.0,120.0,410.0
236370,1981,36,2.0,100.0,120.0,999.0
163052,1981,30,1.0,100.0,120.0,423.0
260170,1981,65,2.0,100.0,110.0,998.0
33673,1981,52,1.0,100.0,212.0,611.0
195736,1981,46,1.0,220.0,120.0,950.0
70611,1981,20,2.0,220.0,120.0,999.0
43058,1981,15,2.0,100.0,221.0,999.0
126724,1981,45,1.0,100.0,120.0,995.0
213254,1981,19,1.0,100.0,221.0,660.0
227574,1981,33,1.0,100.0,110.0,410.0
55385,1981,37,2.0,330.0,212.0,999.0
269801,1981,54,1.0,100.0,212.0,999.0
92564,1981,36,1.0,210.0,400.0,990.0
96232,1981,23,2.0,350.0,221.0,999.0
258276,1981,31,1.0,100.0,212.0,120.0
103782,1981,49,2.0,210.0,110.0,920.0
159752,1981,18,1.0,100.0,110.0,750.0
43732,1981,3,2.0,100.0,0.0,999.0
35701,1981,42,1.0,210.0,120.0,500.0
164630,1981,39,2.0,330.0,110.0,920.0
67268,1981,30,1.0,220.0,311.0,933.0
268012,1981,30,1.0,210.0,212.0,320.0
226169,1981,33,1.0,100.0,120.0,611.0
215411,1981,45,2.0,220.0,120.0,990.0
54432,1981,23,1.0,100.0,110.0,826.0
9393,1981,41,1.0,210.0,212.0,220.0
212983,1981,56,2.0,330.0,120.0,910.0
42836,1981,51,1.0,400.0,120.0,718.0
108594,1981,12,1.0,100.0,120.0,636.0
16045,1981,19,1.0,100.0,221.0,73.0
220502,1981,23,2.0,100.0,212.0,999.0
30276,1981,54,1.0,210.0,212.0,700.0
269318,1981,46,1.0,210.0,120.0,691.0
14523,1981,40,2.0,210.0,311.0,210.0
38084,1981,68,1.0,210.0,221.0,832.0
275408,1981,19,1.0,220.0,120.0,998.0
257663,1981,49,1.0,220.0,120.0,505.0
200182,1981,42,1.0,100.0,120.0,998.0
238091,1981,46,2.0,210.0,110.0,424.0
225076,1981,16,2.0,100.0,311.0,999.0
10476,1981,39,2.0,220.0,110.0,952.0
275810,1981,71,2.0,220.0,212.0,999.0
75286,1981,21,1.0,220.0,221.0,635.0
14696,1981,38,1.0,210.0,212.0,901.0
145352,1981,42,1.0,210.0,110.0,999.0
122863,1981,3,1.0,100.0,0.0,999.0
62600,1981,13,1.0,220.0,212.0,505.0
110382,1981,49,2.0,400.0,120.0,921.0
1870,1981,52,2.0,330.0,110.0,310.0
25818,1981,52,2.0,100.0,311.0,45.0
173337,1981,31,1.0,100.0,120.0,420.0
4890,1981,29,1.0,100.0,221.0,901.0
173499,1981,70,1.0,100.0,110.0,418.0
163661,1981,36,1.0,220.0,120.0,691.0
23518,1981,30,1.0,210.0,212.0,825.0
134361,1981,40,2.0,210.0,212.0,740.0
102102,1981,6,1.0,100.0,110.0,999.0
119615,1981,23,1.0,100.0,212.0,999.0
214206,1981,57,1.0,210.0,120.0,640.0
136715,1981,72,1.0,210.0,120.0,314.0
150869,1981,69,2.0,220.0,110.0,990.0
266831,1981,27,1.0,220.0,212.0,998.0
37906,1981,43,2.0,350.0,311.0,998.0
15787,1981,55,1.0,210.0,400.0,125.0
250204,1981,42,2.0,330.0,110.0,952.0
180522,1981,51,2.0,210.0,212.0,999.0
13954,1981,27,1.0,350.0,110.0,640.0
248685,1981,75,1.0,210.0,110.0,999.0
227122,1981,20,1.0,100.0,221.0,611.0
218035,1981,45,2.0,210.0,212.0,310.0
157577,1981,40,2.0,220.0,120.0,998.0
271224,1981,58,2.0,210.0,120.0,410.0
223667,1981,20,1.0,100.0,212.0,504.0
23319,1981,25,2.0,220.0,212.0,821.0
137040,1981,37,2.0,210.0,400.0,45.0
230237,1981,65,1.0,210.0,110.0,999.0
150832,1981,27,2.0,220.0,110.0,990.0
35924,1981,6,1.0,100.0,120.0,999.0
7759,1981,11,1.0,100.0,120.0,999.0
52314,1981,31,1.0,210.0,312.0,652.0
265907,1981,40,1.0,210.0,120.0,410.0
255749,1981,32,1.0,210.0,110.0,314.0
176256,1981,65,1.0,210.0,400.0,410.0
9828,1981,58,1.0,220.0,212.0,901.0
39879,1981,26,1.0,100.0,400.0,59.0
38289,1981,54,1.0,400.0,120.0,650.0
218839,1981,68,1.0,100.0,120.0,835.0
234353,1981,20,1.0,220.0,221.0,640.0
202988,1981,43,1.0,100.0,120.0,813.0
22044,1981,60,1.0,210.0,311.0,998.0
127833,1981,75,2.0,350.0,110.0,999.0
23389,1981,52,1.0,210.0,400.0,53.0
222178,1981,21,1.0,220.0,110.0,511.0
41590,1981,27,2.0,330.0,120.0,943.0
133220,1981,23,1.0,100.0,110.0,921.0
179324,1981,21,1.0,220.0,110.0,791.0
200006,1981,73,2.0,220.0,120.0,410.0
148113,1981,27,1.0,210.0,311.0,20.0
6928,1981,15,2.0,100.0,212.0,999.0
43571,1981,38,2.0,210.0,221.0,613.0
5912,1981,38,1.0,220.0,110.0,692.0
63965,1981,58,2.0,100.0,212.0,999.0
265571,1981,55,1.0,220.0,212.0,302.0
129646,1981,31,1.0,210.0,311.0,411.0
278951,1981,70,1.0,210.0,110.0,500.0
5394,1981,27,1.0,100.0,110.0,902.0
25176,1981,18,1.0,100.0,212.0,251.0
34264,1981,16,2.0,100.0,221.0,822.0
18059,1981,49,1.0,210.0,110.0,734.0
24621,1981,37,1.0,220.0,120.0,280.0
250260,1981,33,1.0,220.0,221.0,998.0
68234,1981,25,1.0,100.0,120.0,320.0
275861,1981,25,1.0,210.0,311.0,200.0
40022,1981,42,1.0,210.0,400.0,110.0
114212,1981,29,1.0,220.0,110.0,998.0
108928,1981,21,1.0,100.0,212.0,920.0
115071,1981,28,1.0,100.0,221.0,424.0
278461,1981,38,1.0,220.0,120.0,990.0
239439,1981,23,2.0,100.0,110.0,998.0
277150,1981,21,2.0,210.0,221.0,998.0
223115,1981,51,2.0,100.0,120.0,37.0
269708,1981,27,1.0,100.0,400.0,999.0
17192,1981,24,2.0,100.0,312.0,64.0
269048,1981,31,2.0,220.0,221.0,921.0
18311,1981,54,1.0,210.0,221.0,505.0
33630,1981,27,2.0,330.0,212.0,961.0
187340,1981,28,1.0,100.0,120.0,410.0
207430,1981,20,1.0,210.0,212.0,501.0
200309,1981,39,1.0,220.0,120.0,900.0
169215,1981,30,1.0,100.0,110.0,200.0
188425,1981,31,1.0,210.0,312.0,45.0
181393,1981,15,1.0,220.0,110.0,998.0
19519,1981,40,2.0,210.0,212.0,210.0
278481,1981,57,1.0,210.0,110.0,411.0
40877,1981,26,2.0,330.0,120.0,931.0
2518,1981,48,1.0,210.0,212.0,990.0
97961,1981,59,1.0,400.0,110.0,200.0
23334,1981,59,1.0,220.0,120.0,630.0
41390,1981,46,2.0,400.0,221.0,999.0
