ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,age_contribution_%,sex_contribution_%,marstd_contribution_%,edattaind_contribution_%,occ_contribution_%
697,24,0.2,0,3,0,0,0,100.0,33.33,0.0,33.33,33.33
8010,16,0.133333,0,1,2,0,0,75.0,0.0,75.0,50.0,50.0
8644,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
242,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
1184,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
4747,12,0.1,0,1,1,0,0,100.0,0.0,66.67,33.33,33.33
8697,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
8951,12,0.1,0,1,1,0,0,100.0,0.0,66.67,33.33,33.33
4327,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
5864,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
3563,20,0.166667,0,1,3,0,0,80.0,20.0,60.0,40.0,60.0
8610,10,0.083333,0,1,0,1,0,100.0,20.0,80.0,20.0,20.0
1048,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
1792,16,0.133333,0,1,2,0,0,100.0,25.0,50.0,50.0,25.0
1385,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
5962,12,0.1,0,1,1,0,0,100.0,0.0,66.67,33.33,33.33
7001,12,0.1,0,1,1,0,0,100.0,0.0,66.67,33.33,33.33
7249,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
5406,12,0.1,0,1,1,0,0,100.0,33.33,66.67,33.33,0.0
7222,20,0.166667,0,2,1,0,0,100.0,20.0,40.0,20.0,40.0
8778,16,0.133333,0,1,2,0,0,100.0,25.0,50.0,25.0,50.0
2929,12,0.1,0,1,1,0,0,100.0,33.33,66.67,0.0,33.33
4019,20,0.166667,0,2,1,0,0,100.0,20.0,40.0,40.0,20.0
816,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,50.0,0.0
8621,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
7728,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,50.0,0.0
7389,16,0.133333,0,1,2,0,0,100.0,25.0,50.0,25.0,50.0
317,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
3149,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
