Unnamed: 0,year,ownershipd,perwt,age,sex,marstd,edattaind,occ
354841,2011,100,20,44,2,100,311,51
217057,2011,100,20,70,1,350,212,92
309562,2011,100,20,44,2,210,212,44
98639,2011,100,20,34,2,350,322,92
394614,2011,100,20,49,2,332,400,33
79145,2011,0,20,48,1,332,110,998
199931,2011,0,20,70,1,100,120,96
257906,2011,100,20,36,1,210,311,14
269043,2011,100,20,53,1,100,120,999
20485,2011,100,20,30,2,210,322,999
143654,2011,100,20,73,1,400,311,42
9460,2011,100,20,34,1,100,311,52
356459,2011,100,20,42,1,100,311,52
206468,2011,100,20,52,1,210,311,14
190570,2011,100,20,43,2,400,212,51
230473,2011,100,20,50,2,210,322,26
236345,2011,100,20,24,2,100,400,82
478114,2011,100,20,73,1,210,212,82
83850,2011,100,20,16,2,100,212,999
403312,2011,100,20,58,2,400,400,22
110505,2011,100,20,75,1,210,400,43
265440,2011,100,20,49,1,332,311,61
213063,2011,100,20,67,2,400,400,21
284240,2011,100,20,19,1,100,311,83
449444,2011,100,20,82,1,210,400,33
301413,2011,100,20,49,2,210,400,11
32466,2011,100,20,29,1,350,311,31
494251,2011,100,20,57,2,400,212,53
226037,2011,100,20,25,2,100,311,31
302935,2011,100,20,64,2,400,212,73
406104,2011,100,20,70,1,210,212,73
166247,2011,100,20,60,2,350,400,32
468254,2011,100,20,37,1,210,400,34
417899,2011,100,20,43,1,332,212,73
224363,2011,100,20,36,2,210,322,43
118928,2011,100,20,49,1,350,400,23
27455,2011,100,20,46,2,350,400,11
218647,2011,100,20,68,2,100,400,54
222905,2011,100,20,77,1,100,400,52
36574,2011,100,20,64,2,332,212,33
458069,2011,100,20,40,2,350,400,43
130085,2011,200,20,43,2,332,311,91
143912,2011,100,20,78,2,400,311,42
293050,2011,100,20,80,2,100,212,81
124498,2011,100,20,35,1,332,212,82
336570,2011,100,20,41,2,350,400,21
259111,2011,100,20,64,2,400,212,74
306967,2011,100,20,53,1,100,311,74
464729,2011,100,20,81,2,100,311,52
253081,2011,100,20,32,1,100,212,54
184142,2011,100,20,32,1,100,400,54
290748,2011,100,20,55,1,210,311,999
343751,2011,100,20,45,1,210,322,71
46010,2011,100,20,59,2,332,212,42
354650,2011,100,20,71,2,100,212,75
42167,2011,100,20,82,2,210,212,33
294011,2011,100,20,58,1,332,311,13
435977,2011,100,20,38,1,210,311,82
279970,2011,100,20,76,2,100,212,41
385569,2011,100,20,41,2,100,400,34
278546,2011,100,20,50,2,332,212,61
403149,2011,100,20,27,1,100,311,96
469009,2011,100,20,49,1,100,311,31
224653,2011,100,20,72,2,210,212,14
340688,2011,100,20,37,2,210,400,24
296237,2011,100,20,57,1,100,212,75
20398,2011,0,20,91,2,350,110,94
117371,2011,100,20,81,1,400,120,999
202389,2011,100,20,76,2,350,311,34
273268,2011,100,20,36,2,332,311,92
462078,2011,0,20,56,1,350,311,91
191106,2011,100,20,54,1,210,400,52
39607,2011,100,20,80,1,210,311,14
84061,2011,100,20,27,1,350,400,23
231779,2011,100,20,36,1,100,212,54
171684,2011,100,20,36,2,210,400,999
288292,2011,100,20,43,1,332,212,61
252703,2011,0,20,89,2,400,212,42
267417,2011,100,20,53,1,210,322,32
411891,2011,100,20,71,2,332,311,32
238726,2011,100,20,76,1,210,400,14
204009,2011,100,20,61,1,100,311,83
359973,2011,100,20,28,1,210,212,52
181918,2011,100,20,77,2,350,311,42
238936,2011,100,20,56,1,210,311,53
81153,2011,100,20,40,2,210,311,35
14012,2011,100,20,22,1,100,110,93
480417,2011,100,20,27,2,332,311,52
293094,2011,100,20,62,2,210,212,31
359844,2011,100,20,30,2,350,311,43
373124,2011,100,20,3,1,100,0,999
87222,2011,100,20,68,1,350,311,81
406346,2011,100,20,87,2,400,212,12
171505,2011,100,20,33,1,210,322,74
171971,2011,100,20,22,2,100,322,42
347695,2011,100,20,30,2,100,311,26
113250,2011,100,20,34,1,350,311,91
86781,2011,100,20,47,2,350,322,23
365054,2011,100,20,86,2,100,120,94
400922,2011,100,20,7,1,100,110,999
416008,2011,100,20,53,2,100,311,33
