ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,age_contribution_%,sex_contribution_%,marstd_contribution_%,edattaind_contribution_%,occ_contribution_%
1454,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
722,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
2809,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
2528,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
1903,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
1043,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
237,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
2985,16,0.133333,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
1188,20,0.166667,1,0,1,0,0,20.0,0.0,20.0,20.0,80.0
2116,16,0.133333,1,0,0,0,0,0.0,0.0,0.0,0.0,100.0
1777,20,0.166667,1,0,1,0,0,20.0,20.0,0.0,20.0,80.0
2295,16,0.133333,1,0,0,0,0,0.0,0.0,0.0,0.0,100.0
866,16,0.133333,1,0,0,0,0,0.0,0.0,0.0,0.0,100.0
2960,24,0.2,1,0,2,0,0,33.33,16.67,16.67,33.33,66.67
1028,16,0.133333,1,0,0,0,0,0.0,0.0,0.0,0.0,100.0
1785,16,0.133333,1,0,0,0,0,0.0,0.0,0.0,0.0,100.0
1560,16,0.133333,1,0,0,0,0,0.0,0.0,0.0,0.0,100.0
2698,16,0.133333,1,0,0,0,0,0.0,0.0,0.0,0.0,100.0
43,16,0.133333,1,0,0,0,0,0.0,0.0,0.0,0.0,100.0
1133,8,0.066667,0,1,0,0,0,100.0,100.0,0.0,0.0,0.0
1689,8,0.066667,0,1,0,0,0,100.0,100.0,0.0,0.0,0.0
136,8,0.066667,0,1,0,0,0,100.0,100.0,0.0,0.0,0.0
339,8,0.066667,0,1,0,0,0,100.0,100.0,0.0,0.0,0.0
953,8,0.066667,0,1,0,0,0,100.0,100.0,0.0,0.0,0.0
2706,8,0.066667,0,1,0,0,0,100.0,100.0,0.0,0.0,0.0
472,16,0.133333,0,2,0,0,0,100.0,50.0,0.0,50.0,0.0
1902,24,0.2,0,3,0,0,0,100.0,33.33,33.33,33.33,0.0
1228,16,0.133333,0,2,0,0,0,100.0,50.0,0.0,50.0,0.0
2903,24,0.2,0,3,0,0,0,100.0,33.33,33.33,33.33,0.0
2727,24,0.2,0,3,0,0,0,100.0,33.33,33.33,33.33,0.0
2296,16,0.133333,0,2,0,0,0,100.0,50.0,0.0,50.0,0.0
1131,16,0.133333,0,2,0,0,0,100.0,50.0,0.0,50.0,0.0
2101,8,0.066667,0,1,0,0,0,100.0,100.0,0.0,0.0,0.0
35,16,0.133333,0,2,0,0,0,100.0,50.0,50.0,0.0,0.0
2643,16,0.133333,0,2,0,0,0,100.0,50.0,50.0,0.0,0.0
3126,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
1855,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
1836,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
2973,24,0.2,0,3,0,0,0,66.67,0.0,66.67,0.0,66.67
1159,28,0.233333,0,1,5,0,0,57.14,42.86,57.14,42.86,71.43
2775,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
2129,12,0.1,0,1,1,0,0,100.0,0.0,66.67,33.33,33.33
2176,20,0.166667,0,2,1,0,0,60.0,0.0,80.0,20.0,60.0
944,32,0.266667,0,4,0,0,0,50.0,0.0,50.0,25.0,75.0
441,12,0.1,0,1,1,0,0,100.0,0.0,66.67,33.33,33.33
2135,20,0.166667,0,2,1,0,0,80.0,0.0,60.0,20.0,60.0
1562,20,0.166667,0,2,1,0,0,80.0,0.0,60.0,20.0,60.0
88,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
2131,12,0.1,0,1,1,0,0,100.0,0.0,66.67,33.33,33.33
2942,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
1070,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
2752,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
1534,16,0.133333,0,1,2,0,0,100.0,25.0,50.0,50.0,25.0
333,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
3074,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,50.0,0.0
2079,20,0.166667,0,2,1,0,0,80.0,0.0,60.0,20.0,60.0
2054,10,0.083333,0,1,0,1,0,100.0,20.0,80.0,20.0,20.0
886,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
2163,24,0.2,0,3,0,0,0,100.0,0.0,33.33,33.33,33.33
438,16,0.133333,0,2,0,0,0,100.0,0.0,50.0,0.0,50.0
2901,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
3118,24,0.2,0,3,0,0,0,100.0,0.0,33.33,33.33,33.33
2513,24,0.2,0,3,0,0,0,100.0,0.0,33.33,33.33,33.33
647,28,0.233333,0,3,1,0,0,85.71,0.0,42.86,42.86,42.86
1068,16,0.133333,0,2,0,0,0,100.0,0.0,0.0,50.0,50.0
837,20,0.166667,0,2,1,0,0,80.0,20.0,0.0,60.0,60.0
3070,24,0.2,0,3,0,0,0,66.67,0.0,0.0,66.67,66.67
1766,16,0.133333,0,2,0,0,0,100.0,0.0,0.0,50.0,50.0
1473,12,0.1,0,1,1,0,0,66.67,0.0,33.33,100.0,33.33
274,20,0.166667,0,2,1,0,0,80.0,20.0,0.0,60.0,60.0
247,10,0.083333,0,1,0,1,0,100.0,20.0,20.0,80.0,20.0
2377,24,0.2,0,3,0,0,0,66.67,0.0,0.0,66.67,66.67
2555,24,0.2,0,3,0,0,0,66.67,0.0,0.0,66.67,66.67
2386,24,0.2,0,3,0,0,0,66.67,0.0,0.0,66.67,66.67
1241,20,0.166667,0,1,3,0,0,60.0,20.0,60.0,80.0,40.0
1360,16,0.133333,0,2,0,0,0,100.0,0.0,0.0,50.0,50.0
621,12,0.1,0,1,1,0,0,100.0,0.0,33.33,66.67,33.33
1658,28,0.233333,0,3,1,0,0,57.14,14.29,14.29,71.43,57.14
2914,16,0.133333,0,1,2,0,0,100.0,25.0,25.0,50.0,50.0
