Unnamed: 0,year,ownershipd,perwt,age,sex,marstd,edattaind,occ
5791794,2019,100,14.77,34,1,200,311.0,5.0
1207890,2019,100,10.91,1,1,100,0.0,99.0
5279478,2019,100,13.14,52,2,350,221.0,6.0
5829030,2019,100,10.62,41,2,330,311.0,7.0
3712678,2019,100,7.58,69,2,330,120.0,99.0
3762071,2019,100,9.01,81,1,200,400.0,4.0
39474,2019,100,13.94,4,1,100,0.0,99.0
115372,2019,100,21.95,9,2,100,120.0,99.0
426762,2019,100,18.45,60,2,200,120.0,9.0
1311924,2019,100,11.21,59,2,200,321.0,9.0
3792477,2019,100,10.7,61,2,400,212.0,6.0
2256925,2019,100,9.88,37,1,200,221.0,3.0
5785810,2019,100,10.9,32,2,400,120.0,8.0
2363955,2019,100,10.17,64,2,200,221.0,9.0
5437033,2019,100,7.3,48,2,400,120.0,9.0
3786131,2019,100,9.54,9,1,100,120.0,99.0
2325042,2019,100,13.91,57,1,200,221.0,5.0
4177652,2019,100,6.73,4,1,100,0.0,99.0
1366878,2019,100,10.52,29,2,200,221.0,5.0
1960758,2019,100,9.84,11,2,100,120.0,99.0
3384164,2019,100,10.58,34,2,200,120.0,8.0
4653949,2019,100,10.2,55,1,400,400.0,1.0
425110,2019,100,15.58,59,1,200,311.0,7.0
2992521,2019,100,16.68,61,2,200,120.0,9.0
4746759,2019,100,10.62,68,1,350,311.0,9.0
2398026,2019,100,10.16,58,1,200,212.0,9.0
263914,2019,100,17.13,30,1,200,221.0,7.0
104331,2019,100,16.17,46,2,200,400.0,99.0
808747,2019,100,9.87,76,2,400,120.0,9.0
1553874,2019,100,6.66,67,2,400,110.0,7.0
3910088,2019,100,8.66,42,1,100,221.0,8.0
5279806,2019,100,11.41,26,2,200,221.0,9.0
2818844,2019,100,11.51,62,2,200,321.0,99.0
5805547,2019,100,11.01,28,2,100,311.0,8.0
702677,2019,100,4.74,7,2,100,120.0,99.0
3746727,2019,100,7.89,3,1,100,0.0,99.0
2531597,2019,100,11.12,0,2,100,0.0,99.0
4505365,2019,100,15.68,82,2,200,400.0,99.0
5609387,2019,100,5.84,13,1,100,212.0,99.0
1433967,2019,100,23.64,10,2,100,120.0,99.0
5727008,2019,100,13.28,56,1,100,321.0,9.0
3605232,2019,100,14.98,48,2,200,221.0,9.0
815745,2019,100,11.01,2,2,100,0.0,99.0
1489113,2019,100,7.79,17,2,200,221.0,9.0
3739314,2019,214,10.1,33,2,330,311.0,6.0
2446426,2019,100,13.09,75,1,400,311.0,99.0
3027660,2019,100,6.76,87,1,400,221.0,6.0
2505906,2019,100,16.37,40,2,400,321.0,8.0
3626890,2019,100,12.7,33,2,350,400.0,99.0
2578386,2019,100,4.71,57,2,200,221.0,99.0
5522216,2019,100,5.13,33,2,200,120.0,9.0
3956663,2019,100,9.6,35,2,200,221.0,9.0
5381148,2019,100,14.58,53,2,200,212.0,99.0
4207618,2019,100,12.38,37,2,200,311.0,5.0
1761082,2019,100,12.63,47,1,350,400.0,99.0
4127590,2019,211,14.23,34,2,400,321.0,9.0
5728925,2019,100,9.81,45,2,350,221.0,5.0
4182040,2019,214,11.81,25,1,200,311.0,3.0
4257017,2019,100,13.19,22,2,100,400.0,5.0
5775990,2019,100,9.73,22,1,100,221.0,99.0
3781083,2019,100,9.4,36,2,350,311.0,99.0
2325396,2019,100,13.58,8,2,100,120.0,99.0
3913140,2019,100,15.53,32,1,100,311.0,3.0
2365079,2019,100,6.93,57,2,200,221.0,8.0
4420844,2019,100,7.83,69,1,200,221.0,9.0
5746818,2019,100,8.04,16,2,100,221.0,99.0
3343873,2019,100,11.7,40,2,200,221.0,6.0
5840533,2019,100,18.63,40,2,200,221.0,99.0
1239434,2019,100,12.02,20,1,100,311.0,99.0
5833200,2019,214,19.13,35,2,200,312.0,2.0
2691824,2019,100,9.25,10,1,100,120.0,99.0
972600,2019,100,6.62,56,1,200,212.0,1.0
1497084,2019,100,13.69,37,2,200,212.0,9.0
3041328,2019,100,10.33,42,2,200,120.0,7.0
1571980,2019,100,7.38,43,1,350,212.0,1.0
5513416,2019,100,12.34,22,1,100,400.0,2.0
2626226,2019,100,6.45,35,1,200,221.0,5.0
2845896,2019,100,11.2,2,2,100,0.0,99.0
3281569,2019,100,9.74,21,1,100,311.0,99.0
4559469,2019,214,4.49,45,1,400,400.0,9.0
5273994,2019,100,15.18,16,1,100,212.0,99.0
5667936,2019,214,6.86,25,1,200,212.0,6.0
3775667,2019,100,10.27,9,1,100,120.0,99.0
368190,2019,100,8.37,4,1,100,0.0,99.0
560126,2019,100,8.33,57,2,400,221.0,5.0
5455764,2019,100,5.81,9,2,100,120.0,99.0
3476593,2019,100,6.81,30,1,100,212.0,3.0
3589229,2019,100,14.57,8,1,100,120.0,99.0
3527371,2019,100,8.16,45,1,200,120.0,9.0
911544,2019,100,7.62,87,2,400,120.0,99.0
4133552,2019,100,13.4,26,1,100,221.0,7.0
3884970,2019,100,8.37,4,2,100,0.0,99.0
5278435,2019,100,11.0,23,1,400,120.0,6.0
1240166,2019,100,8.53,45,2,400,221.0,9.0
599877,2019,214,6.54,30,2,200,321.0,3.0
3297404,2019,100,13.43,27,1,330,110.0,99.0
5012004,2019,100,7.03,39,1,200,120.0,9.0
4628556,2019,100,13.54,31,1,350,110.0,99.0
419986,2019,100,14.25,42,1,200,221.0,7.0
163278,2019,100,20.51,35,1,200,221.0,5.0
3848533,2019,100,11.5,56,1,200,400.0,5.0
3431840,2019,100,17.49,79,1,200,400.0,99.0
699997,2019,100,5.55,10,2,100,120.0,99.0
4156203,2019,100,14.9,47,1,330,212.0,99.0
472721,2019,214,19.77,24,2,200,311.0,7.0
1376093,2019,100,6.39,35,1,200,212.0,9.0
3568474,2019,100,9.48,46,2,200,221.0,9.0
4224507,2019,100,8.8,23,2,100,212.0,5.0
947244,2019,0,4.76,41,2,200,110.0,9.0
2686507,2019,100,9.4,32,1,100,221.0,7.0
1444913,2019,100,22.65,27,1,100,400.0,2.0
3463235,2019,100,7.09,50,1,200,221.0,9.0
2456552,2019,100,11.89,34,1,200,400.0,2.0
4542388,2019,100,6.87,9,1,100,120.0,99.0
2095183,2019,100,7.99,15,2,100,221.0,99.0
1225574,2019,100,8.89,5,1,100,110.0,99.0
3766221,2019,100,10.06,72,1,200,321.0,99.0
5623706,2019,100,5.72,39,2,200,120.0,99.0
4453260,2019,100,9.54,24,1,100,400.0,2.0
5589755,2019,100,14.02,90,1,200,120.0,6.0
538314,2019,100,7.58,5,1,100,110.0,99.0
2380199,2019,100,11.25,61,1,200,221.0,9.0
4877668,2019,100,13.12,45,2,330,311.0,9.0
2145557,2019,100,13.65,18,1,100,311.0,8.0
4301443,2019,100,6.07,75,1,400,221.0,9.0
2410165,2019,100,13.65,53,1,200,221.0,9.0
3019093,2019,100,10.82,38,2,200,400.0,1.0
3963574,2019,100,7.08,18,2,100,221.0,99.0
2108568,2019,100,7.86,46,2,200,120.0,5.0
956370,2019,100,5.27,31,1,200,221.0,9.0
5274177,2019,100,10.77,69,1,400,110.0,9.0
1431650,2019,100,17.31,45,1,200,400.0,2.0
913073,2019,100,8.0,57,1,350,400.0,99.0
2555281,2019,100,10.63,54,1,330,321.0,7.0
4286440,2019,100,7.43,24,2,200,311.0,7.0
5436477,2019,100,7.45,13,2,100,212.0,99.0
2169329,2019,100,13.01,58,1,200,400.0,99.0
320065,2019,100,14.86,2,1,100,0.0,99.0
4135400,2019,211,15.74,58,2,330,311.0,99.0
5860569,2019,100,9.74,55,2,350,321.0,99.0
876860,2019,100,5.25,11,1,100,120.0,99.0
4456488,2019,100,8.09,77,2,200,120.0,9.0
888048,2019,100,5.73,15,2,100,221.0,99.0
1592350,2019,100,7.47,27,1,100,400.0,5.0
2617614,2019,100,15.34,14,1,100,212.0,99.0
2537341,2019,100,11.08,2,1,100,0.0,99.0
1847318,2019,100,13.58,51,2,400,120.0,9.0
2794130,2019,100,14.71,53,1,200,221.0,7.0
4454774,2019,100,8.82,49,1,400,400.0,9.0
163193,2019,100,17.18,73,1,200,110.0,99.0
951048,2019,100,5.08,2,1,100,0.0,99.0
2772964,2019,100,15.29,6,2,100,110.0,99.0
2724096,2019,100,11.67,43,2,200,221.0,8.0
5429648,2019,0,5.61,6,1,100,120.0,99.0
5511131,2019,100,14.78,40,1,200,311.0,6.0
4090287,2019,100,10.7,32,1,100,110.0,6.0
658075,2019,100,4.98,56,2,200,120.0,9.0
4592244,2019,100,13.4,50,1,100,212.0,7.0
916829,2019,100,6.42,2,2,100,0.0,99.0
5010334,2019,100,6.56,7,1,100,120.0,99.0
4091693,2019,100,7.33,7,1,100,120.0,99.0
2746737,2019,100,15.29,59,1,200,120.0,99.0
5449620,2019,100,8.18,15,2,100,221.0,9.0
1925419,2019,100,13.52,20,2,200,221.0,8.0
4776203,2019,100,11.32,61,1,400,400.0,1.0
5602130,2019,100,5.95,26,1,100,221.0,8.0
3555484,2019,100,7.46,23,1,100,120.0,99.0
3490957,2019,100,6.51,25,2,100,212.0,9.0
2360510,2019,100,10.08,29,2,100,400.0,2.0
723185,2019,100,4.66,7,1,100,120.0,99.0
3820191,2019,100,8.5,8,1,100,120.0,99.0
1316714,2019,100,3.48,44,1,200,120.0,7.0
5513651,2019,100,10.07,23,2,100,321.0,6.0
239228,2019,100,14.11,73,1,350,321.0,99.0
427157,2019,100,20.82,24,2,200,311.0,7.0
4613354,2019,100,12.15,1,2,100,0.0,99.0
4889847,2019,100,9.43,46,2,350,120.0,7.0
2443696,2019,100,12.61,17,2,100,221.0,99.0
4969045,2019,214,8.7,33,2,350,221.0,4.0
4008219,2019,100,8.15,75,1,200,120.0,99.0
2859983,2019,100,11.83,30,2,330,321.0,8.0
3474548,2019,100,6.61,55,1,200,110.0,9.0
2298230,2019,100,13.94,24,1,100,311.0,8.0
1607417,2019,100,9.72,39,1,200,120.0,9.0
4444675,2019,100,3.89,29,2,350,212.0,9.0
2443284,2019,100,10.88,47,2,200,311.0,99.0
5209062,2019,100,11.86,49,1,200,400.0,1.0
472133,2019,100,11.38,28,1,100,120.0,7.0
366618,2019,100,14.12,52,2,100,321.0,2.0
5863612,2019,100,10.78,38,1,200,120.0,9.0
5149187,2019,100,6.26,11,1,100,120.0,99.0
2904402,2019,100,9.29,64,2,200,221.0,9.0
4833168,2019,211,7.08,77,1,100,311.0,9.0
3338337,2019,100,12.24,7,1,100,120.0,99.0
5196349,2019,100,4.56,36,1,200,120.0,9.0
5664264,2019,100,9.39,48,2,200,221.0,7.0
5119676,2019,100,6.23,2,2,100,0.0,99.0
5794721,2019,100,5.22,62,1,330,120.0,8.0
5859420,2019,100,12.36,24,2,330,212.0,99.0
4254768,2019,100,11.05,62,2,200,120.0,9.0
2619974,2019,100,11.8,43,2,200,212.0,3.0
1043615,2019,100,6.11,34,2,330,400.0,2.0
4855249,2019,100,10.58,63,1,200,120.0,8.0
4524474,2019,100,11.28,12,1,100,120.0,99.0
822232,2019,100,10.3,9,2,100,120.0,99.0
5042756,2019,100,7.42,25,2,350,311.0,6.0
4187239,2019,100,11.13,53,2,200,311.0,5.0
4317228,2019,100,13.86,4,2,100,0.0,99.0
1116834,2019,100,10.28,46,2,200,110.0,5.0
1219028,2019,100,5.77,8,1,100,120.0,99.0
4942208,2019,100,5.08,31,2,200,221.0,99.0
2634388,2019,100,9.93,46,2,200,120.0,9.0
1680061,2019,100,11.03,2,2,100,0.0,99.0
4556623,2019,100,12.11,42,2,330,321.0,3.0
5099822,2019,100,7.18,12,1,100,110.0,99.0
5183461,2019,100,9.22,18,1,200,120.0,6.0
5430605,2019,100,5.35,21,1,100,221.0,9.0
204412,2019,214,18.58,25,2,100,400.0,99.0
1415968,2019,100,8.18,20,2,100,311.0,9.0
3273170,2019,100,8.69,38,2,200,221.0,6.0
3121225,2019,100,6.28,66,2,200,120.0,99.0
1417546,2019,100,9.21,15,2,100,221.0,99.0
948224,2019,100,5.18,26,1,200,110.0,6.0
4806887,2019,100,5.18,37,1,100,110.0,7.0
4843167,2019,100,10.18,20,1,100,221.0,99.0
1532687,2019,0,8.4,51,2,200,221.0,9.0
4829985,2019,100,8.46,32,2,350,400.0,3.0
3931844,2019,100,9.01,52,2,200,221.0,9.0
